"Statistic Label","Year","Type of Hospital","ICD 10 Diagnostic Group","UNIT","VALUE"
"Psychiatric In-patients (Number)","2016","General hospital psychiatric units","Mania","Number","102"
"Psychiatric In-patients (Number)","2016","General hospital psychiatric units","Neuroses","Number","39"
"Psychiatric In-patients (Number)","2016","General hospital psychiatric units","Personality and behavioural disorders","Number","36"
"Psychiatric In-patients (Number)","2016","General hospital psychiatric units","Alcoholic disorders","Number","19"
"Psychiatric In-patients (Number)","2016","General hospital psychiatric units","Other drug disorders","Number","22"
"Psychiatric In-patients (Number)","2016","General hospital psychiatric units","Eating disorders","Number","3"
"Psychiatric In-patients (Number)","2016","General hospital psychiatric units","Intellectual disability","Number","7"
"Psychiatric In-patients (Number)","2016","General hospital psychiatric units","Development disorders","Number","0"
"Psychiatric In-patients (Number)","2016","General hospital psychiatric units","Behavioural, emotional disorders of childhood and adolescence","Number","0"
"Psychiatric In-patients (Number)","2016","General hospital psychiatric units","Other and unspecified","Number","119"
"Psychiatric In-patients (Number)","2016","General hospital psychiatric units","All disorders","Number","793"
"Psychiatric In-patients (Number)","2016","Psychiatric hospitals/continuing care units","Organic mental disorders","Number","136"
"Psychiatric In-patients (Number)","2016","Psychiatric hospitals/continuing care units","Schizophrenia, schizotypal and delusional disorders","Number","370"
"Psychiatric In-patients (Number)","2016","Psychiatric hospitals/continuing care units","Depressive disorders","Number","69"
"Psychiatric In-patients (Number)","2016","Psychiatric hospitals/continuing care units","Mania","Number","45"
"Psychiatric In-patients (Number)","2016","Psychiatric hospitals/continuing care units","Neuroses","Number","21"
"Psychiatric In-patients (Number)","2016","Psychiatric hospitals/continuing care units","Personality and behavioural disorders","Number","29"
"Psychiatric In-patients (Number)","2016","Psychiatric hospitals/continuing care units","Alcoholic disorders","Number","15"
"Psychiatric In-patients (Number)","2016","Psychiatric hospitals/continuing care units","Other drug disorders","Number","6"
"Psychiatric In-patients (Number)","2016","Psychiatric hospitals/continuing care units","Eating disorders","Number","1"
"Psychiatric In-patients (Number)","2016","Psychiatric hospitals/continuing care units","Intellectual disability","Number","15"
"Psychiatric In-patients (Number)","2016","Psychiatric hospitals/continuing care units","Development disorders","Number","1"
"Psychiatric In-patients (Number)","2016","Psychiatric hospitals/continuing care units","Behavioural, emotional disorders of childhood and adolescence","Number","0"
"Psychiatric In-patients (Number)","2016","Psychiatric hospitals/continuing care units","Other and unspecified","Number","65"
"Psychiatric In-patients (Number)","2016","Psychiatric hospitals/continuing care units","All disorders","Number","773"
"Psychiatric In-patients (Number)","2016","Private hospitals","Organic mental disorders","Number","109"
"Psychiatric In-patients (Number)","2016","Private hospitals","Schizophrenia, schizotypal and delusional disorders","Number","75"
"Psychiatric In-patients (Number)","2016","Private hospitals","Depressive disorders","Number","158"
"Psychiatric In-patients (Number)","2016","Private hospitals","Mania","Number","38"
"Psychiatric In-patients (Number)","2016","Private hospitals","Neuroses","Number","34"
"Psychiatric In-patients (Number)","2016","Private hospitals","Personality and behavioural disorders","Number","8"
"Psychiatric In-patients (Number)","2016","Private hospitals","Alcoholic disorders","Number","40"
"Psychiatric In-patients (Number)","2016","Private hospitals","Other drug disorders","Number","3"
"Psychiatric In-patients (Number)","2016","Private hospitals","Eating disorders","Number","11"
"Psychiatric In-patients (Number)","2016","Private hospitals","Intellectual disability","Number","2"
"Psychiatric In-patients (Number)","2016","Private hospitals","Development disorders","Number","1"
"Psychiatric In-patients (Number)","2016","Private hospitals","Behavioural, emotional disorders of childhood and adolescence","Number","0"
"Psychiatric In-patients (Number)","2016","Private hospitals","Other and unspecified","Number","143"
"Psychiatric In-patients (Number)","2016","Private hospitals","All disorders","Number","622"
"Psychiatric In-patients (Number)","2019","Central Mental Hospital, Dublin","Organic mental disorders","Number","1"
"Psychiatric In-patients (Number)","2019","Central Mental Hospital, Dublin","Schizophrenia, schizotypal and delusional disorders","Number","83"
"Psychiatric In-patients (Number)","2019","Central Mental Hospital, Dublin","Depressive disorders","Number","3"
"Psychiatric In-patients (Number)","2019","Central Mental Hospital, Dublin","Mania","Number","7"
"Psychiatric In-patients (Number)","2019","Central Mental Hospital, Dublin","Neuroses","Number","1"
"Psychiatric In-patients (Number)","2019","Central Mental Hospital, Dublin","Personality and behavioural disorders","Number","2"
"Psychiatric In-patients (Number)","2019","Central Mental Hospital, Dublin","Alcoholic disorders","Number","1"
"Psychiatric In-patients (Number)","2019","Central Mental Hospital, Dublin","Other drug disorders","Number","0"
"Psychiatric In-patients (Number)","2019","Central Mental Hospital, Dublin","Eating disorders","Number","0"
"Psychiatric In-patients (Number)","2019","Central Mental Hospital, Dublin","Intellectual disability","Number","0"
"Psychiatric In-patients (Number)","2019","Central Mental Hospital, Dublin","Development disorders","Number","5"
"Psychiatric In-patients (Number)","2019","Central Mental Hospital, Dublin","Behavioural, emotional disorders of childhood and adolescence","Number","0"
"Psychiatric In-patients (Number)","2019","Central Mental Hospital, Dublin","Other and unspecified","Number","0"
"Psychiatric In-patients (Number)","2019","Central Mental Hospital, Dublin","All disorders","Number","103"
"Psychiatric In-patients (Number)","2019","St Joseph's Intellectual Disability Service","Organic mental disorders","Number","0"
"Psychiatric In-patients (Number)","2019","St Joseph's Intellectual Disability Service","Schizophrenia, schizotypal and delusional disorders","Number","0"
"Psychiatric In-patients (Number)","2019","St Joseph's Intellectual Disability Service","Depressive disorders","Number","0"
"Psychiatric In-patients (Number)","2019","St Joseph's Intellectual Disability Service","Mania","Number","0"
"Psychiatric In-patients (Number)","2019","St Joseph's Intellectual Disability Service","Neuroses","Number","0"
"Psychiatric In-patients (Number)","2019","St Joseph's Intellectual Disability Service","Personality and behavioural disorders","Number","0"
"Psychiatric In-patients (Number)","2019","St Joseph's Intellectual Disability Service","Alcoholic disorders","Number","0"
"Psychiatric In-patients (Number)","2019","St Joseph's Intellectual Disability Service","Other drug disorders","Number","0"
"Psychiatric In-patients (Number)","2019","St Joseph's Intellectual Disability Service","Eating disorders","Number","0"
"Psychiatric In-patients (Number)","2019","St Joseph's Intellectual Disability Service","Intellectual disability","Number","72"
"Psychiatric In-patients (Number)","2019","St Joseph's Intellectual Disability Service","Development disorders","Number","0"
"Psychiatric In-patients (Number)","2019","St Joseph's Intellectual Disability Service","Behavioural, emotional disorders of childhood and adolescence","Number","0"
"Psychiatric In-patients (Number)","2019","St Joseph's Intellectual Disability Service","Other and unspecified","Number","4"
"Psychiatric In-patients (Number)","2019","St Joseph's Intellectual Disability Service","All disorders","Number","76"
"Psychiatric In-patients (Number)","2019","Carraig Mór, Cork","Organic mental disorders","Number","0"
"Psychiatric In-patients (Number)","2019","Carraig Mór, Cork","Schizophrenia, schizotypal and delusional disorders","Number","10"
"Psychiatric In-patients (Number)","2019","Carraig Mór, Cork","Depressive disorders","Number","1"
"Psychiatric In-patients (Number)","2019","Carraig Mór, Cork","Mania","Number","1"
"Psychiatric In-patients (Number)","2019","Carraig Mór, Cork","Neuroses","Number","0"
"Psychiatric In-patients (Number)","2019","Carraig Mór, Cork","Personality and behavioural disorders","Number","0"
"Psychiatric In-patients (Number)","2019","Carraig Mór, Cork","Alcoholic disorders","Number","0"
"Psychiatric In-patients (Number)","2019","Carraig Mór, Cork","Other drug disorders","Number","0"
"Psychiatric In-patients (Number)","2019","Carraig Mór, Cork","Eating disorders","Number","0"
"Psychiatric In-patients (Number)","2019","Carraig Mór, Cork","Intellectual disability","Number","1"
"Psychiatric In-patients (Number)","2019","Carraig Mór, Cork","Development disorders","Number","0"
"Psychiatric In-patients (Number)","2019","Carraig Mór, Cork","Behavioural, emotional disorders of childhood and adolescence","Number","0"
"Psychiatric In-patients (Number)","2019","Carraig Mór, Cork","Other and unspecified","Number","2"
"Psychiatric In-patients (Number)","2019","Carraig Mór, Cork","All disorders","Number","15"
"Psychiatric In-patients (Number)","2019","Total psychiatric hospitals","Organic mental disorders","Number","225"
"Psychiatric In-patients (Number)","2019","Total psychiatric hospitals","Schizophrenia, schizotypal and delusional disorders","Number","761"
"Psychiatric In-patients (Number)","2019","Total psychiatric hospitals","Depressive disorders","Number","377"
"Psychiatric In-patients (Number)","2019","Total psychiatric hospitals","Mania","Number","173"
"Psychiatric In-patients (Number)","2019","Total psychiatric hospitals","Neuroses","Number","122"
"Psychiatric In-patients (Number)","2019","Total psychiatric hospitals","Personality and behavioural disorders","Number","86"
"Psychiatric In-patients (Number)","2019","Total psychiatric hospitals","Alcoholic disorders","Number","86"
"Psychiatric In-patients (Number)","2019","Total psychiatric hospitals","Other drug disorders","Number","39"
"Psychiatric In-patients (Number)","2019","Total psychiatric hospitals","Eating disorders","Number","23"
"Psychiatric In-patients (Number)","2019","Total psychiatric hospitals","Intellectual disability","Number","97"
"Psychiatric In-patients (Number)","2019","Total psychiatric hospitals","Development disorders","Number","15"
"Psychiatric In-patients (Number)","2019","Total psychiatric hospitals","Behavioural, emotional disorders of childhood and adolescence","Number","2"
"Psychiatric In-patients (Number)","2019","Total psychiatric hospitals","Other and unspecified","Number","302"
"Psychiatric In-patients (Number)","2019","Total psychiatric hospitals","All disorders","Number","2308"
"Psychiatric In-patients (Number)","2019","General hospital psychiatric units","Organic mental disorders","Number","35"
"Psychiatric In-patients (Number)","2019","General hospital psychiatric units","Schizophrenia, schizotypal and delusional disorders","Number","246"
"Psychiatric In-patients (Number)","2019","General hospital psychiatric units","Depressive disorders","Number","146"
"Psychiatric In-patients (Number)","2019","General hospital psychiatric units","Mania","Number","98"
"Psychiatric In-patients (Number)","2019","General hospital psychiatric units","Neuroses","Number","43"
"Psychiatric In-patients (Number)","2019","General hospital psychiatric units","Personality and behavioural disorders","Number","43"
"Psychiatric In-patients (Number)","2019","General hospital psychiatric units","Alcoholic disorders","Number","14"
"Psychiatric In-patients (Number)","2019","General hospital psychiatric units","Other drug disorders","Number","19"
"Psychiatric In-patients (Number)","2019","General hospital psychiatric units","Eating disorders","Number","6"
"Psychiatric In-patients (Number)","2019","General hospital psychiatric units","Intellectual disability","Number","8"
"Psychiatric In-patients (Number)","2019","General hospital psychiatric units","Development disorders","Number","6"
"Psychiatric In-patients (Number)","2019","General hospital psychiatric units","Behavioural, emotional disorders of childhood and adolescence","Number","0"
"Psychiatric In-patients (Number)","2019","General hospital psychiatric units","Other and unspecified","Number","135"
"Psychiatric In-patients (Number)","2019","General hospital psychiatric units","All disorders","Number","799"
"Psychiatric In-patients (Number)","2019","Psychiatric hospitals/continuing care units","Organic mental disorders","Number","116"
"Psychiatric In-patients (Number)","2019","Psychiatric hospitals/continuing care units","Schizophrenia, schizotypal and delusional disorders","Number","327"
"Psychiatric In-patients (Number)","2019","Psychiatric hospitals/continuing care units","Depressive disorders","Number","55"
"Psychiatric In-patients (Number)","2019","Psychiatric hospitals/continuing care units","Mania","Number","37"
"Psychiatric In-patients (Number)","2019","Psychiatric hospitals/continuing care units","Neuroses","Number","12"
"Psychiatric In-patients (Number)","2019","Psychiatric hospitals/continuing care units","Personality and behavioural disorders","Number","24"
"Psychiatric In-patients (Number)","2019","Psychiatric hospitals/continuing care units","Alcoholic disorders","Number","16"
"Psychiatric In-patients (Number)","2019","Psychiatric hospitals/continuing care units","Other drug disorders","Number","8"
"Psychiatric In-patients (Number)","2019","Psychiatric hospitals/continuing care units","Eating disorders","Number","1"
"Psychiatric In-patients (Number)","2019","Psychiatric hospitals/continuing care units","Intellectual disability","Number","15"
"Psychiatric In-patients (Number)","2019","Psychiatric hospitals/continuing care units","Development disorders","Number","0"
"Psychiatric In-patients (Number)","2019","Psychiatric hospitals/continuing care units","Behavioural, emotional disorders of childhood and adolescence","Number","0"
"Psychiatric In-patients (Number)","2019","Psychiatric hospitals/continuing care units","Other and unspecified","Number","78"
"Psychiatric In-patients (Number)","2019","Psychiatric hospitals/continuing care units","All disorders","Number","689"
"Psychiatric In-patients (Number)","2019","Private hospitals","Organic mental disorders","Number","73"
"Psychiatric In-patients (Number)","2019","Private hospitals","Schizophrenia, schizotypal and delusional disorders","Number","95"
"Psychiatric In-patients (Number)","2019","Private hospitals","Depressive disorders","Number","172"
"Psychiatric In-patients (Number)","2019","Private hospitals","Mania","Number","30"
"Psychiatric In-patients (Number)","2019","Private hospitals","Neuroses","Number","66"
"Psychiatric In-patients (Number)","2019","Private hospitals","Personality and behavioural disorders","Number","17"
"Psychiatric In-patients (Number)","2019","Private hospitals","Alcoholic disorders","Number","55"
"Psychiatric In-patients (Number)","2019","Private hospitals","Other drug disorders","Number","12"
"Psychiatric In-patients (Number)","2019","Private hospitals","Eating disorders","Number","16"
"Psychiatric In-patients (Number)","2019","Private hospitals","Intellectual disability","Number","1"
"Psychiatric In-patients (Number)","2019","Private hospitals","Development disorders","Number","4"
