"Statistic Label","Year","Type of Hospital","Socio Economic Group","UNIT","VALUE"
"Psychiatric In-patients (Number)","2016","General hospital psychiatric units","Own account workers","Number","4"
"Psychiatric In-patients (Number)","2016","General hospital psychiatric units","Non-manual","Number","90"
"Psychiatric In-patients (Number)","2016","General hospital psychiatric units","Manual skilled","Number","59"
"Psychiatric In-patients (Number)","2016","General hospital psychiatric units","Semi-skilled","Number","60"
"Psychiatric In-patients (Number)","2016","General hospital psychiatric units","Unskilled","Number","62"
"Psychiatric In-patients (Number)","2016","General hospital psychiatric units","Unspecified","Number","425"
"Psychiatric In-patients (Number)","2016","General hospital psychiatric units","All socio-economic groups","Number","793"
"Psychiatric In-patients (Number)","2016","Psychiatric hospitals/continuing care units","Farmers","Number","47"
"Psychiatric In-patients (Number)","2016","Psychiatric hospitals/continuing care units","Agricultural workers","Number","11"
"Psychiatric In-patients (Number)","2016","Psychiatric hospitals/continuing care units","Higher professional","Number","7"
"Psychiatric In-patients (Number)","2016","Psychiatric hospitals/continuing care units","Lower professional","Number","31"
"Psychiatric In-patients (Number)","2016","Psychiatric hospitals/continuing care units","Employers & managers","Number","8"
"Psychiatric In-patients (Number)","2016","Psychiatric hospitals/continuing care units","Own account workers","Number","3"
"Psychiatric In-patients (Number)","2016","Psychiatric hospitals/continuing care units","Non-manual","Number","60"
"Psychiatric In-patients (Number)","2016","Psychiatric hospitals/continuing care units","Manual skilled","Number","48"
"Psychiatric In-patients (Number)","2016","Psychiatric hospitals/continuing care units","Semi-skilled","Number","53"
"Psychiatric In-patients (Number)","2016","Psychiatric hospitals/continuing care units","Unskilled","Number","75"
"Psychiatric In-patients (Number)","2016","Psychiatric hospitals/continuing care units","Unspecified","Number","430"
"Psychiatric In-patients (Number)","2016","Psychiatric hospitals/continuing care units","All socio-economic groups","Number","773"
"Psychiatric In-patients (Number)","2016","Private hospitals","Farmers","Number","14"
"Psychiatric In-patients (Number)","2016","Private hospitals","Agricultural workers","Number","3"
"Psychiatric In-patients (Number)","2016","Private hospitals","Higher professional","Number","52"
"Psychiatric In-patients (Number)","2016","Private hospitals","Lower professional","Number","96"
"Psychiatric In-patients (Number)","2016","Private hospitals","Employers & managers","Number","40"
"Psychiatric In-patients (Number)","2016","Private hospitals","Own account workers","Number","10"
"Psychiatric In-patients (Number)","2016","Private hospitals","Non-manual","Number","118"
"Psychiatric In-patients (Number)","2016","Private hospitals","Manual skilled","Number","34"
"Psychiatric In-patients (Number)","2016","Private hospitals","Semi-skilled","Number","35"
"Psychiatric In-patients (Number)","2016","Private hospitals","Unskilled","Number","20"
"Psychiatric In-patients (Number)","2016","Private hospitals","Unspecified","Number","200"
"Psychiatric In-patients (Number)","2016","Private hospitals","All socio-economic groups","Number","622"
"Psychiatric In-patients (Number)","2019","Central Mental Hospital, Dublin","Farmers","Number","0"
"Psychiatric In-patients (Number)","2019","Central Mental Hospital, Dublin","Agricultural workers","Number","0"
"Psychiatric In-patients (Number)","2019","Central Mental Hospital, Dublin","Higher professional","Number","0"
"Psychiatric In-patients (Number)","2019","Central Mental Hospital, Dublin","Lower professional","Number","0"
"Psychiatric In-patients (Number)","2019","Central Mental Hospital, Dublin","Employers & managers","Number","0"
"Psychiatric In-patients (Number)","2019","Central Mental Hospital, Dublin","Own account workers","Number","0"
"Psychiatric In-patients (Number)","2019","Central Mental Hospital, Dublin","Non-manual","Number","0"
"Psychiatric In-patients (Number)","2019","Central Mental Hospital, Dublin","Manual skilled","Number","0"
"Psychiatric In-patients (Number)","2019","Central Mental Hospital, Dublin","Semi-skilled","Number","0"
"Psychiatric In-patients (Number)","2019","Central Mental Hospital, Dublin","Unskilled","Number","0"
"Psychiatric In-patients (Number)","2019","Central Mental Hospital, Dublin","Unspecified","Number","103"
"Psychiatric In-patients (Number)","2019","Central Mental Hospital, Dublin","All socio-economic groups","Number","103"
"Psychiatric In-patients (Number)","2019","St Joseph's Intellectual Disability Service","Farmers","Number","2"
"Psychiatric In-patients (Number)","2019","St Joseph's Intellectual Disability Service","Agricultural workers","Number","0"
"Psychiatric In-patients (Number)","2019","St Joseph's Intellectual Disability Service","Higher professional","Number","1"
"Psychiatric In-patients (Number)","2019","St Joseph's Intellectual Disability Service","Lower professional","Number","0"
"Psychiatric In-patients (Number)","2019","St Joseph's Intellectual Disability Service","Employers & managers","Number","0"
"Psychiatric In-patients (Number)","2019","St Joseph's Intellectual Disability Service","Own account workers","Number","0"
"Psychiatric In-patients (Number)","2019","St Joseph's Intellectual Disability Service","Non-manual","Number","5"
"Psychiatric In-patients (Number)","2019","St Joseph's Intellectual Disability Service","Manual skilled","Number","0"
"Psychiatric In-patients (Number)","2019","St Joseph's Intellectual Disability Service","Semi-skilled","Number","0"
"Psychiatric In-patients (Number)","2019","St Joseph's Intellectual Disability Service","Unskilled","Number","1"
"Psychiatric In-patients (Number)","2019","St Joseph's Intellectual Disability Service","Unspecified","Number","67"
"Psychiatric In-patients (Number)","2019","St Joseph's Intellectual Disability Service","All socio-economic groups","Number","76"
"Psychiatric In-patients (Number)","2019","Carraig Mór, Cork","Farmers","Number","1"
"Psychiatric In-patients (Number)","2019","Carraig Mór, Cork","Agricultural workers","Number","0"
"Psychiatric In-patients (Number)","2019","Carraig Mór, Cork","Higher professional","Number","2"
"Psychiatric In-patients (Number)","2019","Carraig Mór, Cork","Lower professional","Number","2"
"Psychiatric In-patients (Number)","2019","Carraig Mór, Cork","Employers & managers","Number","0"
"Psychiatric In-patients (Number)","2019","Carraig Mór, Cork","Own account workers","Number","0"
"Psychiatric In-patients (Number)","2019","Carraig Mór, Cork","Non-manual","Number","3"
"Psychiatric In-patients (Number)","2019","Carraig Mór, Cork","Manual skilled","Number","3"
"Psychiatric In-patients (Number)","2019","Carraig Mór, Cork","Semi-skilled","Number","1"
"Psychiatric In-patients (Number)","2019","Carraig Mór, Cork","Unskilled","Number","1"
"Psychiatric In-patients (Number)","2019","Carraig Mór, Cork","Unspecified","Number","2"
"Psychiatric In-patients (Number)","2019","Carraig Mór, Cork","All socio-economic groups","Number","15"
"Psychiatric In-patients (Number)","2019","Total psychiatric hospitals","Farmers","Number","56"
"Psychiatric In-patients (Number)","2019","Total psychiatric hospitals","Agricultural workers","Number","17"
"Psychiatric In-patients (Number)","2019","Total psychiatric hospitals","Higher professional","Number","69"
"Psychiatric In-patients (Number)","2019","Total psychiatric hospitals","Lower professional","Number","178"
"Psychiatric In-patients (Number)","2019","Total psychiatric hospitals","Employers & managers","Number","63"
"Psychiatric In-patients (Number)","2019","Total psychiatric hospitals","Own account workers","Number","18"
"Psychiatric In-patients (Number)","2019","Total psychiatric hospitals","Non-manual","Number","255"
"Psychiatric In-patients (Number)","2019","Total psychiatric hospitals","Manual skilled","Number","105"
"Psychiatric In-patients (Number)","2019","Total psychiatric hospitals","Semi-skilled","Number","84"
"Psychiatric In-patients (Number)","2019","Total psychiatric hospitals","Unskilled","Number","120"
"Psychiatric In-patients (Number)","2019","Total psychiatric hospitals","Unspecified","Number","1343"
"Psychiatric In-patients (Number)","2019","Total psychiatric hospitals","All socio-economic groups","Number","2308"
"Psychiatric In-patients (Number)","2019","General hospital psychiatric units","Farmers","Number","10"
"Psychiatric In-patients (Number)","2019","General hospital psychiatric units","Agricultural workers","Number","3"
"Psychiatric In-patients (Number)","2019","General hospital psychiatric units","Higher professional","Number","14"
"Psychiatric In-patients (Number)","2019","General hospital psychiatric units","Lower professional","Number","35"
"Psychiatric In-patients (Number)","2019","General hospital psychiatric units","Employers & managers","Number","9"
"Psychiatric In-patients (Number)","2019","General hospital psychiatric units","Own account workers","Number","6"
"Psychiatric In-patients (Number)","2019","General hospital psychiatric units","Non-manual","Number","82"
"Psychiatric In-patients (Number)","2019","General hospital psychiatric units","Manual skilled","Number","40"
"Psychiatric In-patients (Number)","2019","General hospital psychiatric units","Semi-skilled","Number","40"
"Psychiatric In-patients (Number)","2019","General hospital psychiatric units","Unskilled","Number","48"
"Psychiatric In-patients (Number)","2019","General hospital psychiatric units","Unspecified","Number","512"
"Psychiatric In-patients (Number)","2019","General hospital psychiatric units","All socio-economic groups","Number","799"
"Psychiatric In-patients (Number)","2019","Psychiatric hospitals/continuing care units","Farmers","Number","33"
"Psychiatric In-patients (Number)","2019","Psychiatric hospitals/continuing care units","Agricultural workers","Number","13"
"Psychiatric In-patients (Number)","2019","Psychiatric hospitals/continuing care units","Higher professional","Number","7"
"Psychiatric In-patients (Number)","2019","Psychiatric hospitals/continuing care units","Lower professional","Number","38"
"Psychiatric In-patients (Number)","2019","Psychiatric hospitals/continuing care units","Employers & managers","Number","8"
"Psychiatric In-patients (Number)","2019","Psychiatric hospitals/continuing care units","Own account workers","Number","1"
"Psychiatric In-patients (Number)","2019","Psychiatric hospitals/continuing care units","Non-manual","Number","54"
"Psychiatric In-patients (Number)","2019","Psychiatric hospitals/continuing care units","Manual skilled","Number","36"
"Psychiatric In-patients (Number)","2019","Psychiatric hospitals/continuing care units","Semi-skilled","Number","28"
"Psychiatric In-patients (Number)","2019","Psychiatric hospitals/continuing care units","Unskilled","Number","61"
"Psychiatric In-patients (Number)","2019","Psychiatric hospitals/continuing care units","Unspecified","Number","410"
"Psychiatric In-patients (Number)","2019","Psychiatric hospitals/continuing care units","All socio-economic groups","Number","689"
"Psychiatric In-patients (Number)","2019","Private hospitals","Farmers","Number","10"
"Psychiatric In-patients (Number)","2019","Private hospitals","Agricultural workers","Number","1"
"Psychiatric In-patients (Number)","2019","Private hospitals","Higher professional","Number","45"
"Psychiatric In-patients (Number)","2019","Private hospitals","Lower professional","Number","103"
"Psychiatric In-patients (Number)","2019","Private hospitals","Employers & managers","Number","46"
"Psychiatric In-patients (Number)","2019","Private hospitals","Own account workers","Number","11"
"Psychiatric In-patients (Number)","2019","Private hospitals","Non-manual","Number","111"
"Psychiatric In-patients (Number)","2019","Private hospitals","Manual skilled","Number","26"
"Psychiatric In-patients (Number)","2019","Private hospitals","Semi-skilled","Number","15"
"Psychiatric In-patients (Number)","2019","Private hospitals","Unskilled","Number","9"
"Psychiatric In-patients (Number)","2019","Private hospitals","Unspecified","Number","249"
"Psychiatric In-patients (Number)","2019","Private hospitals","All socio-economic groups","Number","626"
"Psychiatric In-patients (Number)","2020","Central Mental Hospital, Dublin","Farmers","Number","0"
"Psychiatric In-patients (Number)","2020","Central Mental Hospital, Dublin","Agricultural workers","Number","0"
"Psychiatric In-patients (Number)","2020","Central Mental Hospital, Dublin","Higher professional","Number","0"
"Psychiatric In-patients (Number)","2020","Central Mental Hospital, Dublin","Lower professional","Number","0"
"Psychiatric In-patients (Number)","2020","Central Mental Hospital, Dublin","Employers & managers","Number","0"
"Psychiatric In-patients (Number)","2020","Central Mental Hospital, Dublin","Own account workers","Number","0"
"Psychiatric In-patients (Number)","2020","Central Mental Hospital, Dublin","Non-manual","Number","0"
"Psychiatric In-patients (Number)","2020","Central Mental Hospital, Dublin","Manual skilled","Number","0"
"Psychiatric In-patients (Number)","2020","Central Mental Hospital, Dublin","Semi-skilled","Number","0"
"Psychiatric In-patients (Number)","2020","Central Mental Hospital, Dublin","Unskilled","Number","0"
"Psychiatric In-patients (Number)","2020","Central Mental Hospital, Dublin","Unspecified","Number","102"
"Psychiatric In-patients (Number)","2020","Central Mental Hospital, Dublin","All socio-economic groups","Number","102"
"Psychiatric In-patients (Number)","2020","St Joseph's Intellectual Disability Service","Farmers","Number","2"
"Psychiatric In-patients (Number)","2020","St Joseph's Intellectual Disability Service","Agricultural workers","Number","0"
"Psychiatric In-patients (Number)","2020","St Joseph's Intellectual Disability Service","Higher professional","Number","1"
"Psychiatric In-patients (Number)","2020","St Joseph's Intellectual Disability Service","Lower professional","Number","0"
"Psychiatric In-patients (Number)","2020","St Joseph's Intellectual Disability Service","Employers & managers","Number","0"
"Psychiatric In-patients (Number)","2020","St Joseph's Intellectual Disability Service","Own account workers","Number","0"
"Psychiatric In-patients (Number)","2020","St Joseph's Intellectual Disability Service","Non-manual","Number","3"
"Psychiatric In-patients (Number)","2020","St Joseph's Intellectual Disability Service","Manual skilled","Number","0"
"Psychiatric In-patients (Number)","2020","St Joseph's Intellectual Disability Service","Semi-skilled","Number","0"
"Psychiatric In-patients (Number)","2020","St Joseph's Intellectual Disability Service","Unskilled","Number","1"
"Psychiatric In-patients (Number)","2020","St Joseph's Intellectual Disability Service","Unspecified","Number","63"
"Psychiatric In-patients (Number)","2020","St Joseph's Intellectual Disability Service","All socio-economic groups","Number","70"
"Psychiatric In-patients (Number)","2020","Carraig Mór, Cork","Farmers","Number","1"
"Psychiatric In-patients (Number)","2020","Carraig Mór, Cork","Agricultural workers","Number","0"
"Psychiatric In-patients (Number)","2020","Carraig Mór, Cork","Higher professional","Number","0"
"Psychiatric In-patients (Number)","2020","Carraig Mór, Cork","Lower professional","Number","1"
"Psychiatric In-patients (Number)","2020","Carraig Mór, Cork","Employers & managers","Number","0"
"Psychiatric In-patients (Number)","2020","Carraig Mór, Cork","Own account workers","Number","0"
"Psychiatric In-patients (Number)","2020","Carraig Mór, Cork","Non-manual","Number","3"
"Psychiatric In-patients (Number)","2020","Carraig Mór, Cork","Manual skilled","Number","0"
"Psychiatric In-patients (Number)","2020","Carraig Mór, Cork","Semi-skilled","Number","1"
"Psychiatric In-patients (Number)","2020","Carraig Mór, Cork","Unskilled","Number","3"
"Psychiatric In-patients (Number)","2020","Carraig Mór, Cork","Unspecified","Number","1"
"Psychiatric In-patients (Number)","2020","Carraig Mór, Cork","All socio-economic groups","Number","10"
"Psychiatric In-patients (Number)","2020","Total psychiatric hospitals","Farmers","Number","44"
"Psychiatric In-patients (Number)","2020","Total psychiatric hospitals","Agricultural workers","Number","10"
"Psychiatric In-patients (Number)","2020","Total psychiatric hospitals","Higher professional","Number","39"
"Psychiatric In-patients (Number)","2020","Total psychiatric hospitals","Lower professional","Number","97"
"Psychiatric In-patients (Number)","2020","Total psychiatric hospitals","Employers & managers","Number","28"
"Psychiatric In-patients (Number)","2020","Total psychiatric hospitals","Own account workers","Number","6"
"Psychiatric In-patients (Number)","2020","Total psychiatric hospitals","Non-manual","Number","158"
"Psychiatric In-patients (Number)","2020","Total psychiatric hospitals","Manual skilled","Number","60"
"Psychiatric In-patients (Number)","2020","Total psychiatric hospitals","Semi-skilled","Number","54"
"Psychiatric In-patients (Number)","2020","Total psychiatric hospitals","Unskilled","Number","83"
"Psychiatric In-patients (Number)","2020","Total psychiatric hospitals","Unspecified","Number","1247"
"Psychiatric In-patients (Number)","2020","Total psychiatric hospitals","All socio-economic groups","Number","1826"
"Psychiatric In-patients (Number)","2020","General hospital psychiatric units","Farmers","Number","11"
"Psychiatric In-patients (Number)","2020","General hospital psychiatric units","Agricultural workers","Number","1"
"Psychiatric In-patients (Number)","2020","General hospital psychiatric units","Higher professional","Number","15"
"Psychiatric In-patients (Number)","2020","General hospital psychiatric units","Lower professional","Number","29"
"Psychiatric In-patients (Number)","2020","General hospital psychiatric units","Employers & managers","Number","2"
"Psychiatric In-patients (Number)","2020","General hospital psychiatric units","Own account workers","Number","4"
"Psychiatric In-patients (Number)","2020","General hospital psychiatric units","Non-manual","Number","54"
"Psychiatric In-patients (Number)","2020","General hospital psychiatric units","Manual skilled","Number","32"
"Psychiatric In-patients (Number)","2020","General hospital psychiatric units","Semi-skilled","Number","27"
"Psychiatric In-patients (Number)","2020","General hospital psychiatric units","Unskilled","Number","27"
